1848.5	9.07	9.58	10.09	5
1849.5	8.45	8.92	9.39	5
1850.5	6.07	6.4	6.73	5
1851.5	6.12	6.45	6.78	5
1852.5	5.24	5.52	5.8	5
1853.5	3.94	4.15	4.36	5
1854.5	1.89	1.99	2.09	5
1855.5	0.73	0.77	0.81	5
1856.5	0.46	0.48	0.5	5
1857.5	2.52	2.65	2.78	5
1858.5	5.01	5.26	5.51	5
1859.5	8.46	8.88	9.3	5
1860.5	9.48	9.94	10.4	5
1861.5	7.73	8.1	8.47	5
1862.5	5.5	5.76	6.02	5
1863.5	4.73	4.96	5.19	5
1864.5	4.18	4.38	4.58	5
1865.5	2.55	2.67	2.79	4
1866.5	1.68	1.76	1.84	4
1867.5	0.78	0.82	0.86	4
1868.5	3.3	3.45	3.6	4
1869.5	6.75	7.06	7.37	4
1870.5	10.73	11.22	11.71	4
1871.5	9.81	10.25	10.69	4
1872.5	8.31	8.68	9.05	4
1873.5	5.74	5.99	6.24	4
1874.5	3.82	3.99	4.16	4
1875.5	1.75	1.83	1.91	4
1876.5	1.13	1.18	1.23	4
1877.5	0.95	0.99	1.03	4
1878.5	0.4	0.42	0.44	4
1879.5	0.73	0.76	0.79	4
1880.5	2.59	2.7	2.81	4
1881.5	4.43	4.62	4.81	4
1882.5	4.58	4.78	4.98	4
1883.5	5.09	5.31	5.53	4
1884.5	5.6	5.84	6.08	4
1885.5	4.45	4.64	4.83	4
1886.5	2.31	2.41	2.51	4
1887.5	1.3	1.35	1.4	4
1888.5	0.75	0.78	0.81	4
1889.5	0.58	0.6	0.62	4
1890.5	0.66	0.69	0.72	4
1891.5	3.42	3.56	3.7	4
1892.5	5.94	6.18	6.42	4
1893.5	7.42	7.73	8.04	4
1894.5	6.83	7.11	7.39	4
1895.5	5.27	5.49	5.71	4
1896.5	3.3	3.44	3.58	4
1897.5	2.51	2.61	2.71	4
1898.5	2.09	2.17	2.25	4
1899.5	1.05	1.09	1.13	4
1900.5	0.84	0.87	0.9	4
1901.5	0.26	0.27	0.28	4
1902.5	0.33	0.34	0.35	4
1903.5	1.77	1.84	1.91	4
1904.5	3.61	3.76	3.91	4
1905.5	4.35	4.52	4.69	4
1906.5	4.32	4.49	4.66	4
1907.5	4.57	4.75	4.93	4
1908.5	3.94	4.1	4.26	4
1909.5	3.36	3.49	3.62	4
1910.5	1.64	1.71	1.78	4
1911.5	0.63	0.66	0.69	4
1912.5	0.3	0.31	0.32	4
1913.5	0.13	0.13	0.13	4
1914.5	0.89	0.93	0.97	4
1915.5	3.37	3.5	3.63	4
1916.5	4.64	4.82	5	4
1917.5	7.6	7.9	8.2	4
1918.5	6.31	6.56	6.81	4
1919.5	5.24	5.45	5.66	4
1920.5	3.14	3.26	3.38	4
1921.5	2.12	2.2	2.28	4
1922.5	1.2	1.25	1.3	4
1923.5	0.56	0.58	0.6	4
1924.5	1.32	1.37	1.42	4
1925.5	3.7	3.85	4	4
1926.5	5.07	5.27	5.47	4
1927.5	5.72	5.95	6.18	4
1928.5	5.82	6.05	6.28	4
1929.5	5.19	5.39	5.59	4
1930.5	3.18	3.31	3.44	4
1931.5	1.96	2.04	2.12	4
1932.5	1.09	1.13	1.17	4
1933.5	0.54	0.56	0.58	4
1934.5	0.84	0.87	0.9	4
1935.5	3.18	3.31	3.44	4
1936.5	6.53	6.79	7.05	4
1937.5	9.02	9.37	9.72	4
1938.5	8.32	8.65	8.98	4
1939.5	7.46	7.75	8.04	4
1940.5	5.22	5.43	5.63	4
1941.5	3.56	3.7	3.84	4
