            JDTDB,            Calendar Date (TDB),                     EC,                     QR,                     IN,                     OM,                      W,                     Tp,                      N,                     MA,                     TA,                      A,                     AD,                     PR,
**************************************************************************************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2306268.500000000, A.D. 1602-Apr-01 00:00:00.0000,  2.813498742045280E-02,  2.444052763192099E-03,  5.070926912447866E+00,  2.630946715749334E+02,  2.056113445230369E+02,  2.306267405023708E+06,  1.337984073689749E+01,  1.465060839685905E+01,  1.549469319111405E+01,  2.514806821479288E-03,  2.585560879766476E-03,  2.690614986224990E+01,
2306298.500000000, A.D. 1602-May-01 00:00:00.0000,  3.527514599918256E-02,  2.430644488683537E-03,  5.190788993293749E+00,  2.611872811508876E+02,  1.891242369000629E+02,  2.306293350084557E+06,  1.334230688317505E+01,  6.871175225717940E+01,  7.253655485511206E+01,  2.519520958336870E-03,  2.608397427990203E-03,  2.698184078301842E+01,
2306329.500000000, A.D. 1602-Jun-01 00:00:00.0000,  4.611996370983003E-02,  2.417042214990105E-03,  5.283649998769417E+00,  2.606510077979501E+02,  1.950375311741669E+02,  2.306321022850709E+06,  1.322885250631234E+01,  1.121429576417066E+02,  1.169283844218417E+02,  2.533905861360160E-03,  2.650769507730216E-03,  2.721324467320357E+01,
2306359.500000000, A.D. 1602-Jul-01 00:00:00.0000,  5.302031614668201E-02,  2.404294515462384E-03,  5.247709684997874E+00,  2.605899301734698E+02,  2.028192377713429E+02,  2.306348900125068E+06,  1.318977486822022E+01,  1.398099639843350E+02,  1.435388599545210E+02,  2.538908232623494E-03,  2.673521949784605E-03,  2.729386995583930E+01,
2306390.500000000, A.D. 1602-Aug-01 00:00:00.0000,  5.154591490382501E-02,  2.418934755984508E-03,  5.095587519468189E+00,  2.594261175834549E+02,  2.150028554209020E+02,  2.306376986684993E+06,  1.310074893173351E+01,  1.770345471433158E+02,  1.773216088005058E+02,  2.550397319169355E-03,  2.681859882354203E-03,  2.747934502644989E+01,
2306421.500000000, A.D. 1602-Sep-01 00:00:00.0000,  4.548693845991283E-02,  2.439946738939352E-03,  4.988822632312205E+00,  2.563850673121882E+02,  2.234459610811088E+02,  2.306432248991225E+06,  1.305600123594959E+01,  2.196611572772981E+02,  2.164757161708968E+02,  2.556221425616270E-03,  2.672496112293187E-03,  2.757352680150971E+01,
2306451.500000000, A.D. 1602-Oct-01 00:00:00.0000,  4.291271102861340E-02,  2.446292292906710E-03,  5.054727039849057E+00,  2.532411368239467E+02,  2.220466527332827E+02,  2.306459203448591E+06,  1.305788052292979E+01,  2.594092886786938E+02,  2.546283756822878E+02,  2.555976159223493E-03,  2.665660025540276E-03,  2.756955842625730E+01,
2306482.500000000, A.D. 1602-Nov-01 00:00:00.0000,  4.513147852175698E-02,  2.436073301343366E-03,  5.216671166510169E+00,  2.516065790807998E+02,  2.165548909559754E+02,  2.306485975467204E+06,  1.309446397446391E+01,  3.144906199073249E+02,  3.106526090383163E+02,  2.551213330995614E-03,  2.666353360647862E-03,  2.749253430320262E+01,
2306512.500000000, A.D. 1602-Dec-01 00:00:00.0000,  5.652286703098178E-02,  2.402562822467805E-03,  5.275748740856893E+00,  2.515077634523745E+02,  2.173610846012947E+02,  2.306513344317795E+06,  1.313084962489437E+01,  3.489133899933944E+02,  3.475755386745054E+02,  2.546498201718154E-03,  2.690433580968503E-03,  2.741635235221087E+01,
2306543.500000000, A.D. 1603-Jan-01 00:00:00.0000,  6.485450027113308E-02,  2.367204404994241E-03,  5.174882982385942E+00,  2.509931460335353E+02,  2.246654936618570E+02,  2.306541214123754E+06,  1.324869280772906E+01,  3.028487217822442E+01,  3.431055740128213E+01,  2.531375497909770E-03,  2.695546590825300E-03,  2.717249205068609E+01,
2306574.500000000, A.D. 1603-Feb-01 00:00:00.0000,  7.001098258676289E-02,  2.340729731708499E-03,  5.044244965451824E+00,  2.487308156260803E+02,  2.365224271194934E+02,  2.306569321786150E+06,  1.336280746420142E+01,  6.919547468587103E+01,  7.691183405617814E+01,  2.516943413180551E-03,  2.693157094652602E-03,  2.694044653149646E+01,
2306602.500000000, A.D. 1603-Mar-01 00:00:00.0000,  7.259224503035031E-02,  2.347281143300788E-03,  5.010447139315128E+00,  2.456257271511982E+02,  2.567644683319463E+02,  2.306597924597963E+06,  1.325153867413507E+01,  6.063111703745265E+01,  6.819530954362675E+01,  2.531013063803423E-03,  2.714744984306059E-03,  2.716665655609214E+01,
2306633.500000000, A.D. 1603-Apr-01 00:00:00.0000,  6.749522507982915E-02,  2.348664837939938E-03,  5.132571976467066E+00,  2.430973790127304E+02,  2.652629205632933E+02,  2.306625772519857E+06,  1.334912857349539E+01,  1.031551259805191E+02,  1.105242299628168E+02,  2.518662532469071E-03,  2.688660226998203E-03,  2.696805248507215E+01,
2306663.500000000, A.D. 1603-May-01 00:00:00.0000,  6.286270940387592E-02,  2.358270517270649E-03,  5.245170231430265E+00,  2.422143691184027E+02,  2.705711328110339E+02,  2.306653472131686E+06,  1.336664105446194E+01,  1.340389162891769E+02,  1.389426332401179E+02,  2.516462145872486E-03,  2.674653774474322E-03,  2.693271993563618E+01,
2306694.500000000, A.D. 1603-Jun-01 00:00:00.0000,  6.364468846654334E-02,  2.350305054150102E-03,  5.245021367679535E+00,  2.420332667732125E+02,  2.715638789824642E+02,  2.306707756557154E+06,  1.341783831666294E+01,  1.821256594667879E+02,  1.818751227593677E+02,  2.510056839749259E-03,  2.669808625348417E-03,  2.682995513166484E+01,
2306724.500000000, A.D. 1603-Jul-01 00:00:00.0000,  6.616575411283949E-02,  2.343555673768075E-03,  5.139263672894243E+00,  2.411816008069115E+02,  2.768536752957050E+02,  2.306735442656649E+06,  1.342145719304188E+01,  2.131336022128597E+02,  2.092612995030856E+02,  2.509605622292907E-03,  2.675655570817739E-03,  2.682272087315793E+01,
2306755.500000000, A.D. 1603-Aug-01 00:00:00.0000,  6.926830381501123E-02,  2.336941623163638E-03,  5.032124503971903E+00,  2.389680806041809E+02,  2.863826508926243E+02,  2.306763340368577E+06,  1.341136088152637E+01,  2.548499875735361E+02,  2.473791403722039E+02,  2.510864981543679E-03,  2.684788339923720E-03,  2.684291349551902E+01,
2306786.500000000, A.D. 1603-Sep-01 00:00:00.0000,  6.881887660481747E-02,  2.346296275469243E-03,  5.026626385780588E+00,  2.359565356157374E+02,  2.982140075806856E+02,  2.306791377322267E+06,  1.334089165015347E+01,  2.949321720896867E+02,  2.875330865589246E+02,  2.519699139641496E-03,  2.693102003813749E-03,  2.698470307986188E+01,
2306816.500000000, A.D. 1603-Oct-01 00:00:00.0000,  6.238359887604467E-02,  2.367587065170896E-03,  5.140562724426205E+00,  2.336874587259074E+02,  3.113704355748931E+02,  2.306819552226399E+06,  1.329801271772052E+01,  3.194114545364498E+02,  3.144745868959797E+02,  2.525112681831058E-03,  2.682638298491219E-03,  2.707171422089822E+01,
2306847.500000000, A.D. 1603-Nov-01 00:00:00.0000,  5.475375478035597E-02,  2.402201430312847E-03,  5.252067736489401E+00,  2.329231649023112E+02,  3.182814491337804E+02,  2.306847372160819E+06,  1.317077097898438E+01,  1.683740568839332E+00,  1.881590754959677E+00,  2.541349878363870E-03,  2.680498326414893E-03,  2.733325183274581E+01,
2306877.500000000, A.D. 1603-Dec-01 00:00:00.0000,  4.355619663019115E-02,  2.436655134838900E-03,  5.224347487091712E+00,  2.329060533031975E+02,  3.190465468637454E+02,  2.306874746445482E+06,  1.312217952008179E+01,  3.613263670476373E+01,  3.920933099126327E+01,  2.547619762137523E-03,  2.658584389436147E-03,  2.743446692289698E+01,
2306908.500000000, A.D. 1604-Jan-01 00:00:00.0000,  4.112808529292832E-02,  2.451697232397808E-03,  5.060479134216698E+00,  2.316476718910762E+02,  3.132346818526441E+02,  2.306901514338261E+06,  1.305114247875787E+01,  9.117086666250140E+01,  9.587258756303784E+01,  2.556855816500563E-03,  2.662014400603318E-03,  2.758379203858501E+01,
2306939.500000000, A.D. 1604-Feb-01 00:00:00.0000,  4.592379877075303E-02,  2.440131822061453E-03,  4.960792772096713E+00,  2.282713572114068E+02,  3.129410904720012E+02,  2.306928561482043E+06,  1.304555468910939E+01,  1.426990342179112E+02,  1.457471845448173E+02,  2.557585881418642E-03,  2.675039940775832E-03,  2.759560697718227E+01,
2306968.500000000, A.D. 1604-Mar-01 00:00:00.0000,  4.818697021440264E-02,  2.435912168854422E-03,  5.035558045098277E+00,  2.252216727386398E+02,  3.161308370758370E+02,  2.306955841093958E+06,  1.303295571876313E+01,  1.649829618961163E+02,  1.663347573540597E+02,  2.559233896391531E-03,  2.682555623928640E-03,  2.762228367596764E+01,
2306999.500000000, A.D. 1604-Apr-01 00:00:00.0000,  4.943694898247154E-02,  2.428666570464005E-03,  5.202902595167145E+00,  2.236304974883714E+02,  3.275178223768372E+02,  2.307011511443379E+06,  1.306554227665844E+01,  2.030639787294520E+02,  2.009647412776305E+02,  2.554976829642435E-03,  2.681287088820864E-03,  2.755339138453819E+01,
2307029.500000000, A.D. 1604-May-01 00:00:00.0000,  4.471929954721663E-02,  2.437321065298610E-03,  5.257032680277988E+00,  2.235815746824767E+02,  3.326325312152499E+02,  2.307039183642358E+06,  1.309288282465922E+01,  2.332132052892408E+02,  2.292454409202087E+02,  2.551418723463553E-03,  2.665516381628496E-03,  2.749585441351188E+01,
2307060.500000000, A.D. 1604-Jun-01 00:00:00.0000,  3.721132680629782E-02,  2.443330543640252E-03,  5.161270003601599E+00,  2.231734270627288E+02,  3.357880011538284E+02,  2.307066653719562E+06,  1.319869554095436E+01,  2.787789290615448E+02,  2.745385366163309E+02,  2.537764113422097E-03,  2.632197683203942E-03,  2.727542270241423E+01,
2307090.500000000, A.D. 1604-Jul-01 00:00:00.0000,  3.456399138675743E-02,  2.443344941474981E-03,  5.032649005171975E+00,  2.213353151259100E+02,  3.249891533675559E+02,  2.307092994076222E+06,  1.325305356299962E+01,  3.269458742379502E+02,  3.247050950439167E+02,  2.530820188677875E-03,  2.618295435880769E-03,  2.716355127433135E+01,
2307121.500000000, A.D. 1604-Aug-01 00:00:00.0000,  3.881229838709375E-02,  2.418764523713112E-03,  5.007223648479457E+00,  2.183929409774934E+02,  3.166366910061652E+02,  2.307119462957762E+06,  1.336687267979861E+01,  2.722888424319590E+01,  2.935492804747062E+01,  2.516433075094845E-03,  2.614101626476578E-03,  2.693225323706936E+01,
2307152.500000000, A.D. 1604-Sep-01 00:00:00.0000,  5.034725951173424E-02,  2.384351257881885E-03,  5.099343327123912E+00,  2.159071845592825E+02,  3.198525408559560E+02,  2.307146854881568E+06,  1.341219239155499E+01,  7.571341447813461E+01,  8.138321666914379E+01,  2.510761203780623E-03,  2.637171149679360E-03,  2.684124932674501E+01,
2307182.500000000, A.D. 1604-Oct-01 00:00:00.0000,  6.123259039873984E-02,  2.356737270207821E-03,  5.223431612634623E+00,  2.147063496290811E+02,  3.305358026952918E+02,  2.307174911259871E+06,  1.341461274311188E+01,  1.018000100311535E+02,  1.085469580523899E+02,  2.510459189469350E-03,  2.664181108730879E-03,  2.683640645421184E+01,
2307213.500000000, A.D. 1604-Nov-01 00:00:00.0000,  6.388741092072230E-02,  2.356206572799899E-03,  5.258479507213902E+00,  2.144864928813705E+02,  3.434590280075585E+02,  2.307203173672686E+06,  1.336226167921861E+01,  1.379830877545450E+02,  1.426033791161225E+02,  2.517011949510655E-03,  2.677817326221411E-03,  2.694154692089909E+01,
2307243.500000000, A.D. 1604-Dec-01 00:00:00.0000,  6.301813144282276E-02,  2.359577059440352E-03,  5.156500451218136E+00,  2.138755709842675E+02,  3.534187164206321E+02,  2.307231226773245E+06,  1.335221821063487E+01,  1.638748017834459E+02,  1.657386613869577E+02,  2.518273980129173E-03,  2.676970900817994E-03,  2.696181221134214E+01,
2307274.500000000, A.D. 1605-Jan-01 00:00:00.0000,  5.685284285656957E-02,  2.384806137364677E-03,  5.011584923976115E+00,  2.115904303629413E+02,  3.596014956892218E+02,  2.307285918881385E+06,  1.327081079940305E+01,  2.084621856059044E+02,  2.055415636397787E+02,  2.528562079949104E-03,  2.672318022533532E-03,  2.712720461783644E+01,
2307305.500000000, A.D. 1605-Feb-01 00:00:00.0000,  5.612134531271326E-02,  2.396944003380233E-03,  5.001406726136294E+00,  2.080947605906025E+02,  4.959741091131830E-01,  2.307313136475405E+06,  1.318546053983457E+01,  2.593095548813042E+02,  2.530836156672526E+02,  2.539462028807460E-03,  2.681980054234687E-03,  2.730280060468154E+01,
2307333.500000000, A.D. 1605-Mar-01 00:00:00.0000,  6.539161037576459E-02,  2.357480213371030E-03,  5.136409913792356E+00,  2.059855501163422E+02,  1.256727748700000E+01,  2.307341150826409E+06,  1.331926675144907E+01,  2.580966021936450E+02,  2.509049417482242E+02,  2.522425691383818E-03,  2.687371169396607E-03,  2.702851491136580E+01,
2307364.500000000, A.D. 1605-Apr-01 00:00:00.0000,  7.082525850196214E-02,  2.355777892406955E-03,  5.246716338343781E+00,  2.052383091356190E+02,  1.793195146606251E+01,  2.307368902327233E+06,  1.321759586657606E+01,  3.018118177635814E+02,  2.945972957013662E+02,  2.535344308443979E-03,  2.714910724481002E-03,  2.723642057405829E+01,
2307394.500000000, A.D. 1605-May-01 00:00:00.0000,  7.345965171789746E-02,  2.353265991772622E-03,  5.219677649913652E+00,  2.051637687881136E+02,  2.873911714062245E+01,  2.307397066212925E+06,  1.318250258480213E+01,  3.261708914825775E+02,  3.211056095500014E+02,  2.539841892623251E-03,  2.726417793473880E-03,  2.730892694191751E+01,
2307425.500000000, A.D. 1605-Jun-01 00:00:00.0000,  7.213027920031942E-02,  2.365041092436847E-03,  5.072326452046391E+00,  2.040357172236273E+02,  3.940815958655888E+01,  2.307425144783245E+06,  1.311234465311210E+01,  4.657724521975203E+00,  5.394867119032848E+00,  2.548893491640773E-03,  2.732745890844699E-03,  2.745504404618874E+01,
